"Virus","Domain","Realm","Kingdom","Phylum","Class","Order","Family"
"Sentinel_17_S17_172753_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_17_S17_407808_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Kyanoviridae"
"Sentinel_17_S17_271716_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_17_S17_758289_extended_partial","Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Megaviricetes","Algavirales","Phycodnaviridae"
"Sentinel_17_S17_354066_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_2_S2_384880_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_2_S2_100499_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_2_S2_155902_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_2_S2_232147_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_2_S2_932363_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_2_S2_786682_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_2_S2_707649_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_2_S2_167196_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_2_S2_790226_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_2_S2_942998_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_2_S2_119680_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_2_S2_884522_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_2_S2_721763_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_2_S2_51540_extended_partial","Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Megaviricetes","Algavirales","Phycodnaviridae"
"Sentinel_2_S2_441928_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_2_S2_113819_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_2_S2_664214_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_2_S2_936768_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_2_S2_64770_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_2_S2_282111_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_2_S2_277354_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_2_S2_745081_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
